[-0.0002539837692858704, -0.0021359582253901443]
[-0.0051716288476924555, 0.0001819812876722171]
[-0.002464504741852558, -0.001872527824385229]
[0.0008288453791648887, 0.0009450363750126423]
[-0.00015906246241881132, -0.004224061709662587]
[0.0016368792870267782, -0.0022086441236197144]
[0.002365549874819517, 6.317450813553283e-05]
[-0.0016026410508951372, -0.005519592633064022]
[-0.0010737732913735365, 0.00024738486595099474]
[-0.0024282901210308516, -0.0009216938432634603]
[-0.006491660097905472, -0.0012086124215942018]
[0.00035290387636122134, -0.00022226096963828823]
[-0.0026046875988806617, -0.0022942138150625624]
[-0.0035447492672336933, 0.0004020309659398258]
[-0.0019345745713356122, 0.0010075263807809431]
[-0.0025997945215687768, -0.002099785442327917]
[-0.0005650953180924567, -0.0011824984948938244]
[-0.004288419555177503, -0.0013949444051377657]
[-0.0012711171310582081, -0.0009933012210560643]
[-0.0010010052082337073, 0.0007862373956499802]
[-0.0014291971726889119, -0.003514122888804691]
[0.0013545173140825928, 0.0001934081187453529]
[0.0011692471979102281, -0.0013090061906080863]
[0.0003954714265542447, -0.00336694737541891]
[0.0010143317754213177, 3.914413850042431e-05]
[-0.0023120093297648303, -0.0016603895307291186]
[-0.00377387019329406, 0.00030049682029553715]
[0.00043477331288444, -0.0002590639137568518]
[-0.002881367360227989, -0.001886853303412206]
[-0.0020342325775364323, 0.00014802494412657907]
[-0.0013883379324786116, 0.0007235139145929104]
[-0.0017944105255990328, -0.0011046745762504084]
[-0.0007661575652987418, -0.0004619992136105644]
[-0.003195727639518281, -0.001926563349986976]
[-0.0005337798529163607, -0.0003924494383391042]
[-0.0018598794925837603, -0.0001391224104397848]
[-0.0016257370929987358, -0.0025369962086005393]
[0.0002743043228759512, 0.0010157210771359892]
[-0.00017306645938039433, -0.0018617289565042439]
[0.0013768346650682717, -0.0013884530745182089]
[0.0014099579024156317, -0.0007503274400546267]
[-0.0016961774280877806, -0.0017742601646515421]
[-0.0014979532988926847, 0.0008798960314388427]
[9.174489789331997e-05, -0.0003318323337509338]
[-0.0026720597347537345, -0.001225272826758772]
[-0.0010342996081282863, -5.7252858888134917e-05]
[-0.0011155096334184295, 0.0003160327151958686]
[-0.0011760958360991225, -0.0004582673890873856]
[-0.0008195909977521398, -4.842085656764361e-05]
[-0.002212991713656076, -0.0017967691506716177]
[-0.00016577365165115765, 1.7023334306753846e-05]
[-0.0019125800886752586, -0.0009797262617115]
[-0.0012823455746361345, -0.0016285829266556306]
[-0.0008116433851722282, 0.0007682508635561414]
[-0.0010518204232855544, -0.001763668073877886]
[0.0014575637998309188, 5.574509538064376e-05]
[0.0008006953331297917, -0.0014578241967198313]
[-0.0008937366037363587, -0.0014298707997968674]
[3.3037114379769195e-05, 0.0007372345741693265]
[-0.0002851337825221234, -0.0003948339169891832]
[-0.0020837853586228583, -0.0005583553349127746]
[-0.0005143019051611075, -0.00019001000363359777]
[-0.0009839353853741684, -6.339423578305414e-07]
[-0.0006915800253053384, -9.229980242186908e-05]
[-0.0007713024204233365, 7.99319440649704e-05]
[-0.0014614882227339532, -0.0013683714913624856]
[-2.6294975268070786e-05, 0.0002666665986472694]
[-0.0014966611204207947, -0.001387883531498657]
[-0.0007966350142056822, -0.0009213925648610122]
[-0.001473124080639928, 5.8820654559310626e-06]
[-0.0013138286816810618, -0.0013179386701754059]
[0.0009378730414186798, 0.0007985111720676397]
[-0.00017013360797402122, -0.0017683261560374943]
